cust_id	cust_name	gender_code	birthday	age	cert_type_code	cert_no	education_grade_code	nation_code	year_income	marriage_status_code	ouse_kind_code	reside_years	home_phone	mobile_phone	corp_phone	home_post_code	house_address	stmt_post_code	stmt_address	e_mail_address	corp_name	corp_post_code	corp_address	duty_code	tech_post_code	industry_class_code	corp_kind_code	corp_scale_code	exchange_info_code	branch_code	issue_channel_code	reference_code	credit_limit	take_cash_limit	urr_limit	temp_credit_limit	usable_limit	product_count	public_private_code	employee_flag	activity_status_code	cycle_credit_flag	first_open_date	first_active_date	first_stmt_date	last_trans_date	defecte_date	invalid_date	hold_card_days	overdue_status_code	last_ovdu_stat_code	total_overdue_count	high_acct_bill_code	first_brush_date	next_brush_date
S160133859	name46	M	1958-01-12	51	01	230205195801120617	03	CHN	0.00	02	03	0				450000								02	03	00	O	00	00	227723	02	255	0.00	0.00	0.00	0.00	-595.51	1	1	0	000	0	2004-11-08	3000-12-31	2006-04-01	3000-12-31	3000-12-31	2004-11-08	1738	5	5	8	5	3000-12-31	3000-12-31
S160156118	name19	M	1958-06-11	51	04	230205195806110617	05	CHN	0.00	02	02	0				510580								01	03	00	O	00	00	127790	02	015	0.00	0.00	0.00	0.00	-31099.32	1	1	0	100	0	2004-09-28	2004-09-28	2006-04-01	2006-07-14	3000-12-31	2004-09-28	1779	5	5	24	5	2006-01-12	2006-01-14
S160151102	name68	M	1960-03-31	49	01	230205196003310618	01	CHN	0.00	02	02	0				116021								03	03	00	O	00	00	077588	09	456	0.00	0.00	0.00	0.00	-89.16	1	1	0	000	0	2004-12-10	3000-12-31	2006-04-01	3000-12-31	3000-12-31	2004-12-10	1706	5	5	4	5	3000-12-31	3000-12-31
S1601115457	name80	F	1962-03-20	47	01	230205196203200618	03	CHN	0.00	02	02	0				116031								04	03	00	O	00	00	070000	09	001	0.00	0.00	0.00	0.00	-88.21	1	1	0	100	0	2004-12-14	2004-12-14	2006-04-01	2006-04-22	3000-12-31	3000-12-31	1702	5	5	6	5	2006-04-10	2006-04-15
S160156273	name70	F	1962-08-02	47	01	230205196208020617	03	CHN	0.00	02	02	0				116022								04	03	00	O	00	00	077588	09	456	0.00	0.00	0.00	0.00	-89.16	1	1	0	000	0	2004-12-10	3000-12-31	2006-04-01	3000-12-31	3000-12-31	2004-12-10	1706	5	5	4	5	3000-12-31	3000-12-31
S160136436	name99	F	1962-09-07	46	01	230205196209070619	04	CHN	0.00	02	03	0				116001								01	03	00	O	00	00	073574	09	253	0.00	0.00	0.00	0.00	-422.89	1	1	0	000	0	2004-12-16	2004-12-16	2006-04-01	3000-12-31	3000-12-31	3000-12-31	1700	5	5	4	5	3000-12-31	3000-12-31
S1601113931	name23	M	1962-09-13	46	01	230205196209130618	04	CHN	0.00	02	02	0				110006								03	03	00	O	00	00	197566	02	190	0.00	0.00	0.00	0.00	-314.75	1	1	0	000	0	2004-10-13	3000-12-31	2006-04-01	3000-12-31	3000-12-31	2004-10-13	1764	5	5	8	5	3000-12-31	3000-12-31
S160178630	name48	F	1963-09-29	45	01	230205196309290619	04	CHN	0.00	02	02	0				430200								01	03	00	O	00	00	026875	01	999	0.00	0.00	0.00	0.00	-9312.36	1	1	0	000	0	2004-11-08	2004-11-08	2006-04-01	3000-12-31	3000-12-31	2004-11-08	1738	2	2	8	2	3000-12-31	3000-12-31
S160137784	name26	M	1963-10-15	45	01	230205196310150618	05	CHN	0.00	02	02	0				518020								01	03	00	O	00	00	047817	02	336	0.00	0.00	0.00	0.00	-32934.73	1	1	0	000	0	2004-10-18	2004-10-18	2006-04-01	3000-12-31	3000-12-31	2004-10-18	1759	5	5	5	5	3000-12-31	3000-12-31
S160179583	name91	M	1964-02-09	45	01	230205196402090617	04	CHN	0.00	02	03	0				116021								03	03	00	O	00	00	073574	09	253	0.00	0.00	0.00	0.00	-169.14	1	1	0	000	0	2004-12-14	2004-12-14	2006-04-01	3000-12-31	3000-12-31	3000-12-31	1702	5	5	4	5	3000-12-31	3000-12-31
S1601119138	name31	M	1964-06-12	45	01	230205196406120617	04	CHN	0.00	02	03	0				030000								01	03	00	O	00	00	317525	02	055	0.00	0.00	0.00	0.00	-211.20	1	1	0	000	0	2004-10-21	3000-12-31	2006-04-01	3000-12-31	3000-12-31	2004-10-21	1756	5	5	5	5	3000-12-31	3000-12-31
S160175658	name87	M	1964-06-17	45	01	230205196406170619	01	CHN	0.00	02	02	0				116001								04	03	00	O	00	00	073574	09	253	0.00	0.00	0.00	0.00	-169.14	1	1	0	000	0	2004-12-14	3000-12-31	2006-04-01	3000-12-31	3000-12-31	3000-12-31	1702	5	5	4	5	3000-12-31	3000-12-31
S1601100000002382	name7	M	1964-07-25	45	01	230205196407250617	04	CHN	0.00	02	01	0				519000								04	03	00	O	00	00	343862	02	999	0.00	0.00	0.00	0.00	-9772.03	1	1	0	000	0	2004-07-26	2004-07-26	2006-04-01	3000-12-31	3000-12-31	2004-07-26	1843	5	5	8	5	3000-12-31	3000-12-31
S160188434	name61	M	1964-08-01	45	01	230205196408010617	05	CHN	0.00	02	02	0				518001								01	03	00	O	00	00	047820	02	494	0.00	0.00	0.00	0.00	-45036.67	1	1	0	000	0	2004-12-08	2004-12-08	2006-04-01	3000-12-31	3000-12-31	2004-12-08	1708	5	5	7	5	3000-12-31	3000-12-31
S1601115682	name59	M	1951-09-01	57	01	230205195109010618	03	CHN	0.00	02	02	0				570000								01	03	00	O	00	00	113922	02	121	0.00	0.00	0.00	0.00	-3.28	1	1	0	000	0	2004-12-03	2004-12-03	2006-04-01	3000-12-31	2006-12-13	2004-12-31	740	5	5	2	5	3000-12-31	3000-12-31
S160110000143750X	name71	M	1948-06-04	61	01	230205194806040618	03	CHN	0.00	02	02	0				116021								04	03	00	O	00	00	077558	09	456	0.00	0.00	0.00	0.00	-89.16	1	1	0	000	0	2004-12-10	3000-12-31	2006-04-01	3000-12-31	3000-12-31	2004-12-10	1706	5	5	4	5	3000-12-31	3000-12-31
S1601100001665833	name24	F	1964-10-27	44	01	230205196410270619	03	CHN	0.00	00	03	0				518048								04	03	00	O	00	00	043903	02	116	0.00	0.00	0.00	0.00	-89.93	1	1	0	000	0	2004-10-13	3000-12-31	2006-04-01	3000-12-31	2005-09-23	2004-10-13	345	5	5	8	5	3000-12-31	3000-12-31
S160191345	name60	F	1965-02-24	44	01	230205196502240619	04	CHN	0.00	00	02	0				266023								04	03	00	O	00	00	103805	02	360	0.00	0.00	0.00	0.00	-61.28	1	1	0	000	0	2004-12-07	3000-12-31	2006-04-01	3000-12-31	3000-12-31	3000-12-31	1709	5	5	7	5	3000-12-31	3000-12-31
S1601120283	name39	M	1965-03-20	44	01	230205196503200619	03	CHN	0.00	02	02	0				518000								04	03	00	O	00	00	047822	02	999	0.00	0.00	0.00	0.00	-100.92	1	1	0	000	0	2004-11-04	2004-11-04	2006-04-01	3000-12-31	3000-12-31	2004-11-04	1742	6	6	9	6	3000-12-31	3000-12-31
S160137506	name25	M	1965-07-13	44	09	230205196507130617	04	CHN	0.00	02	01	0				100027								01	03	00	O	00	00	026875	01	999	0.00	0.00	0.00	0.00	-224.60	1	1	0	000	0	2004-10-13	2004-10-15	2006-04-01	3000-12-31	2007-11-26	2004-10-13	1139	5	5	8	5	3000-12-31	3000-12-31
S160137285	name73	M	1965-07-16	44	01	230205196507160617	05	CHN	0.00	02	04	0				518040								03	03	00	O	00	00	043901	02	121	0.00	0.00	0.00	0.00	-319.28	1	1	0	000	0	2004-12-13	2004-12-13	2006-04-01	3000-12-31	3000-12-31	3000-12-31	1703	5	5	4	5	3000-12-31	3000-12-31
S160154698	name97	M	1966-01-23	43	01	230205196601230617	05	CHN	0.00	02	03	0				030012								03	03	00	O	00	00	317532	02	233	0.00	0.00	0.00	0.00	-169.14	1	1	0	000	0	2004-12-15	2004-12-15	2006-04-01	3000-12-31	3000-12-31	3000-12-31	1701	5	5	4	5	3000-12-31	3000-12-31
S160149558	name43	F	1966-04-06	43	01	230205196604060617	04	CHN	0.00	02	02	0				210004								02	03	00	O	00	00	026875	01	999	0.00	0.00	0.00	0.00	-6263.83	1	1	0	000	0	2004-11-08	2004-11-08	2006-04-01	3000-12-31	3000-12-31	2004-11-08	1738	5	5	9	5	3000-12-31	3000-12-31
S1601115143	name65	M	1966-10-21	42	01	230205196610210618	03	CHN	0.00	02	02	0				110003								01	03	00	O	00	00	197568	02	132	0.00	0.00	0.00	0.00	-89.16	1	1	0	000	0	2004-12-10	2004-12-10	2006-04-01	3000-12-31	2009-03-25	2004-12-10	1566	5	5	4	5	3000-12-31	3000-12-31
